State,District,Id_Indicator,Indicator,NFHS5,NFHS4,Change
Andaman Nicobar Islands,South Andaman,29,Unmet need for spacing7 (%),8.6,8.4,0.1999999999999993
Andaman Nicobar Islands,South Andaman,30,Health worker ever talked to female non-users about family planning (%),31.2,37.4,-6.199999999999999
Andaman Nicobar Islands,South Andaman,31,Current users ever told about side effects of current method8 (%),88.2,58.2,30
Andaman Nicobar Islands,South Andaman,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.9,96.7,2.200000000000003
Andaman Nicobar Islands,South Andaman,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.1,73.7,14.399999999999991
Andaman Nicobar Islands,South Andaman,42,Institutional births (%),99.5,97,2.5
Andaman Nicobar Islands,South Andaman,73,Children under 5 years who are stunted (height-for-age)18 (%),21.1,20.1,1
Andaman Nicobar Islands,South Andaman,74,Children under 5 years who are wasted (weight-for-height)18 (%),12.6,15.6,-3
Andaman Nicobar Islands,South Andaman,76,Children under 5 years who are underweight (weight-for-age)18 (%),17.4,18.5,-1.1000000000000014
Andaman Nicobar Islands,South Andaman,77,Children under 5 years who are overweight (weight-for-height)20 (%),7.2,3,4.2
Andhra Pradesh,Anantapur,1,Female population age 6 years and above who ever attended school (%),59.5,56.9,2.6000000000000014
Andhra Pradesh,Anantapur,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",881,1196,-315
Andhra Pradesh,Anantapur,15,Women with 10 or more years of schooling (%),31.3,30.8,0.5
Andhra Pradesh,Anantapur,17,Births in the 5 years preceding the survey that are third or higher order (%),2,0.7,1.3
Andhra Pradesh,Anantapur,20,Any method6 (%),67.6,65.3,2.299999999999997
Andhra Pradesh,Anantapur,21,Any modern method6 (%),67.6,65.3,2.299999999999997
Andhra Pradesh,Anantapur,22,Female sterilization (%),67.2,65,2.200000000000003
Andhra Pradesh,Anantapur,23,Male sterilization (%),0,0,0
Andhra Pradesh,Anantapur,24,IUD/PPIUD (%),0,0,0
Andhra Pradesh,Anantapur,25,Pill (%),0,0.2,-0.2
Andhra Pradesh,Anantapur,26,Condom (%),0.1,0,0.1
Andhra Pradesh,Anantapur,27,Injectables (%),0,0.2,-0.2
Andhra Pradesh,Anantapur,28,Total unmet need7 (%),6.4,5.2,1.2000000000000002
Andhra Pradesh,Anantapur,29,Unmet need for spacing7 (%),3.7,3.9,-0.19999999999999973
Andhra Pradesh,Anantapur,30,Health worker ever talked to female non-users about family planning (%),21.9,26.9,-5
Andhra Pradesh,Anantapur,31,Current users ever told about side effects of current method8 (%),36.4,23.4,13
Andhra Pradesh,Anantapur,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100,93.5,6.5
Andhra Pradesh,Anantapur,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.1,80.7,8.399999999999991
Andhra Pradesh,Anantapur,42,Institutional births (%),94.7,89.9,4.799999999999997
Andhra Pradesh,Anantapur,73,Children under 5 years who are stunted (height-for-age)18 (%),36,40.3,-4.299999999999997
Andhra Pradesh,Anantapur,74,Children under 5 years who are wasted (weight-for-height)18 (%),19.3,15.2,4.100000000000001
Andhra Pradesh,Anantapur,76,Children under 5 years who are underweight (weight-for-age)18 (%),40.6,39.3,1.3000000000000043
Andhra Pradesh,Anantapur,77,Children under 5 years who are overweight (weight-for-height)20 (%),0.3,0.6,-0.3
Andhra Pradesh,Chittoor,1,Female population age 6 years and above who ever attended school (%),65.6,65,0.5999999999999943
Andhra Pradesh,Chittoor,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1019,1168,-149
Andhra Pradesh,Chittoor,15,Women with 10 or more years of schooling (%),40.3,39,1.2999999999999972
Andhra Pradesh,Chittoor,17,Births in the 5 years preceding the survey that are third or higher order (%),3.2,2.1,1.1
Andhra Pradesh,Chittoor,20,Any method6 (%),69,59.7,9.299999999999997
Andhra Pradesh,Chittoor,21,Any modern method6 (%),68.9,59.5,9.400000000000006
Andhra Pradesh,Chittoor,22,Female sterilization (%),67.9,58.3,9.600000000000009
Andhra Pradesh,Chittoor,23,Male sterilization (%),0,0,0
Andhra Pradesh,Chittoor,24,IUD/PPIUD (%),0,0.7,-0.7
Andhra Pradesh,Chittoor,25,Pill (%),0,0.4,-0.4
Andhra Pradesh,Chittoor,26,Condom (%),0.8,0.2,0.6000000000000001
Andhra Pradesh,Chittoor,27,Injectables (%),0,0,0
Andhra Pradesh,Chittoor,28,Total unmet need7 (%),6,4.2,1.7999999999999998
Andhra Pradesh,Chittoor,29,Unmet need for spacing7 (%),3.9,2.7,1.1999999999999997
Andhra Pradesh,Chittoor,30,Health worker ever talked to female non-users about family planning (%),21.3,13.6,7.700000000000001
Andhra Pradesh,Chittoor,31,Current users ever told about side effects of current method8 (%),29.1,30.8,-1.6999999999999993
Andhra Pradesh,Chittoor,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.2,90.7,7.5
Andhra Pradesh,Chittoor,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.8,82,11.799999999999997
Andhra Pradesh,Chittoor,42,Institutional births (%),97.1,94,3.0999999999999943
Andhra Pradesh,Chittoor,73,Children under 5 years who are stunted (height-for-age)18 (%),27.1,31.4,-4.299999999999997
Andhra Pradesh,Chittoor,74,Children under 5 years who are wasted (weight-for-height)18 (%),14.8,18.1,-3.3000000000000007
Andhra Pradesh,Chittoor,76,Children under 5 years who are underweight (weight-for-age)18 (%),27.9,32.4,-4.5
Andhra Pradesh,Chittoor,77,Children under 5 years who are overweight (weight-for-height)20 (%),0.5,0,0.5
Andhra Pradesh,East Godavari,1,Female population age 6 years and above who ever attended school (%),75.4,69,6.400000000000006
Andhra Pradesh,East Godavari,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",882,1008,-126
Andhra Pradesh,East Godavari,15,Women with 10 or more years of schooling (%),43.2,35.5,7.700000000000003
Andhra Pradesh,East Godavari,17,Births in the 5 years preceding the survey that are third or higher order (%),1.3,1.4,-0.09999999999999987
Andhra Pradesh,East Godavari,20,Any method6 (%),66.3,72.2,-5.900000000000006
Andhra Pradesh,East Godavari,21,Any modern method6 (%),66.3,72.2,-5.900000000000006
Andhra Pradesh,East Godavari,22,Female sterilization (%),64.1,70.1,-6
Andhra Pradesh,East Godavari,23,Male sterilization (%),0.9,1.5,-0.6
Andhra Pradesh,East Godavari,24,IUD/PPIUD (%),0.1,0,0.1
Andhra Pradesh,East Godavari,25,Pill (%),0.3,0.2,0.09999999999999998
Andhra Pradesh,East Godavari,26,Condom (%),1.1,0.3,0.8
Andhra Pradesh,East Godavari,27,Injectables (%),0,0,0
Andhra Pradesh,East Godavari,28,Total unmet need7 (%),8,3.4,4.6
Andhra Pradesh,East Godavari,29,Unmet need for spacing7 (%),4.4,1.5,2.9000000000000004
Andhra Pradesh,East Godavari,30,Health worker ever talked to female non-users about family planning (%),12.5,20.6,-8.100000000000001
Andhra Pradesh,East Godavari,31,Current users ever told about side effects of current method8 (%),32.4,30.1,2.299999999999997
Andhra Pradesh,East Godavari,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),91.4,90.8,0.6000000000000085
Andhra Pradesh,East Godavari,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.9,83,8.900000000000006
Andhra Pradesh,East Godavari,42,Institutional births (%),96.6,96.9,-0.30000000000001137
Andhra Pradesh,East Godavari,73,Children under 5 years who are stunted (height-for-age)18 (%),23.1,27.7,-4.599999999999998
Andhra Pradesh,East Godavari,74,Children under 5 years who are wasted (weight-for-height)18 (%),14.3,15.3,-1
Andhra Pradesh,East Godavari,76,Children under 5 years who are underweight (weight-for-age)18 (%),22.4,27.1,-4.700000000000003
Andhra Pradesh,East Godavari,77,Children under 5 years who are overweight (weight-for-height)20 (%),3.4,2.7,0.6999999999999997
Andhra Pradesh,Guntur,1,Female population age 6 years and above who ever attended school (%),64.9,60.3,4.6000000000000085
Andhra Pradesh,Guntur,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",941,637,304
Andhra Pradesh,Guntur,15,Women with 10 or more years of schooling (%),32.6,30.1,2.5
Andhra Pradesh,Guntur,17,Births in the 5 years preceding the survey that are third or higher order (%),1,0.8,0.19999999999999996
Andhra Pradesh,Guntur,20,Any method6 (%),73.3,74,-0.7000000000000028
Andhra Pradesh,Guntur,21,Any modern method6 (%),73.2,73.5,-0.29999999999999716
Andhra Pradesh,Guntur,22,Female sterilization (%),72.9,72.9,0
Andhra Pradesh,Guntur,23,Male sterilization (%),0,0,0
Andhra Pradesh,Guntur,24,IUD/PPIUD (%),0.2,0.2,0
Andhra Pradesh,Guntur,25,Pill (%),0,0.2,-0.2
Andhra Pradesh,Guntur,26,Condom (%),0.1,0.1,0
Andhra Pradesh,Guntur,27,Injectables (%),0,0,0
Andhra Pradesh,Guntur,28,Total unmet need7 (%),3.2,6.1,-2.8999999999999995
Andhra Pradesh,Guntur,29,Unmet need for spacing7 (%),1.7,4.7,-3
Andhra Pradesh,Guntur,30,Health worker ever talked to female non-users about family planning (%),16.6,28.7,-12.099999999999998
Andhra Pradesh,Guntur,31,Current users ever told about side effects of current method8 (%),28.2,30.7,-2.5
Andhra Pradesh,Guntur,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96,93.9,2.0999999999999943
Andhra Pradesh,Guntur,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),94,80.8,13.200000000000003
Andhra Pradesh,Guntur,42,Institutional births (%),98.6,97.5,1.0999999999999943
Andhra Pradesh,Guntur,73,Children under 5 years who are stunted (height-for-age)18 (%),23.8,22.1,1.6999999999999993
Andhra Pradesh,Guntur,74,Children under 5 years who are wasted (weight-for-height)18 (%),17.8,17.9,-0.09999999999999787
Andhra Pradesh,Guntur,76,Children under 5 years who are underweight (weight-for-age)18 (%),26.9,29.1,-2.200000000000003
Andhra Pradesh,Guntur,77,Children under 5 years who are overweight (weight-for-height)20 (%),3.6,3.9,-0.2999999999999998
Andhra Pradesh,Krishna,1,Female population age 6 years and above who ever attended school (%),74,71.3,2.700000000000003
Andhra Pradesh,Krishna,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1139,900,239
Andhra Pradesh,Krishna,15,Women with 10 or more years of schooling (%),46.2,38.8,7.400000000000006
Andhra Pradesh,Krishna,17,Births in the 5 years preceding the survey that are third or higher order (%),0,3.3,-3.3
Andhra Pradesh,Krishna,20,Any method6 (%),79.1,74.8,4.299999999999997
Andhra Pradesh,Krishna,21,Any modern method6 (%),78.1,74.8,3.299999999999997
Andhra Pradesh,Krishna,22,Female sterilization (%),76.5,73.2,3.299999999999997
Andhra Pradesh,Krishna,23,Male sterilization (%),1,0.8,0.19999999999999996
Andhra Pradesh,Krishna,24,IUD/PPIUD (%),0,0.1,-0.1
Andhra Pradesh,Krishna,25,Pill (%),0,0.1,-0.1
Andhra Pradesh,Krishna,26,Condom (%),0.4,0.6,-0.19999999999999996
Andhra Pradesh,Krishna,27,Injectables (%),0,0,0
Andhra Pradesh,Krishna,28,Total unmet need7 (%),2.5,4.6,-2.0999999999999996
Andhra Pradesh,Krishna,29,Unmet need for spacing7 (%),1.4,3.5,-2.1
Andhra Pradesh,Krishna,30,Health worker ever talked to female non-users about family planning (%),16.1,18.1,-2
Andhra Pradesh,Krishna,31,Current users ever told about side effects of current method8 (%),27.7,6.8,20.9
Andhra Pradesh,Krishna,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.4,96.3,0.10000000000000853
Andhra Pradesh,Krishna,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.3,92.5,-4.200000000000003
Andhra Pradesh,Krishna,42,Institutional births (%),98.9,96.4,2.5
Andhra Pradesh,Krishna,73,Children under 5 years who are stunted (height-for-age)18 (%),29.8,22.6,7.199999999999999
Andhra Pradesh,Krishna,74,Children under 5 years who are wasted (weight-for-height)18 (%),14.3,20.7,-6.399999999999999
Andhra Pradesh,Krishna,76,Children under 5 years who are underweight (weight-for-age)18 (%),21.1,27.7,-6.599999999999998
Andhra Pradesh,Krishna,77,Children under 5 years who are overweight (weight-for-height)20 (%),4.2,1.8,2.4000000000000004
Andhra Pradesh,Kurnool,1,Female population age 6 years and above who ever attended school (%),55.2,56.6,-1.3999999999999986
Andhra Pradesh,Kurnool,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",918,816,102
Andhra Pradesh,Kurnool,15,Women with 10 or more years of schooling (%),33.4,24.9,8.5
Andhra Pradesh,Kurnool,17,Births in the 5 years preceding the survey that are third or higher order (%),3,4.5,-1.5
Andhra Pradesh,Kurnool,20,Any method6 (%),70,65.9,4.099999999999994
Andhra Pradesh,Kurnool,21,Any modern method6 (%),70,65.9,4.099999999999994
Andhra Pradesh,Kurnool,22,Female sterilization (%),69.5,65.9,3.5999999999999943
Andhra Pradesh,Kurnool,23,Male sterilization (%),0,0,0
Andhra Pradesh,Kurnool,24,IUD/PPIUD (%),0,0,0
Andhra Pradesh,Kurnool,25,Pill (%),0.2,0,0.2
Andhra Pradesh,Kurnool,26,Condom (%),0.4,0,0.4
Andhra Pradesh,Kurnool,27,Injectables (%),0,0,0
Andhra Pradesh,Kurnool,28,Total unmet need7 (%),2.1,4.7,-2.6
Andhra Pradesh,Kurnool,29,Unmet need for spacing7 (%),0.9,4,-3.1
Andhra Pradesh,Kurnool,30,Health worker ever talked to female non-users about family planning (%),20.7,23,-2.3000000000000007
Andhra Pradesh,Kurnool,31,Current users ever told about side effects of current method8 (%),22.2,23.1,-0.9000000000000021
Andhra Pradesh,Kurnool,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.6,93.1,2.5
Andhra Pradesh,Kurnool,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.8,67,20.799999999999997
Andhra Pradesh,Kurnool,42,Institutional births (%),88.5,75.5,13
Andhra Pradesh,Kurnool,73,Children under 5 years who are stunted (height-for-age)18 (%),50.5,44.1,6.399999999999999
Andhra Pradesh,Kurnool,74,Children under 5 years who are wasted (weight-for-height)18 (%),16.7,18.8,-2.1000000000000014
Andhra Pradesh,Kurnool,76,Children under 5 years who are underweight (weight-for-age)18 (%),46.3,37.5,8.799999999999997
Andhra Pradesh,Kurnool,77,Children under 5 years who are overweight (weight-for-height)20 (%),1.1,0.6,0.5000000000000001
Andhra Pradesh,Prakasam,1,Female population age 6 years and above who ever attended school (%),58.1,53.5,4.600000000000001
Andhra Pradesh,Prakasam,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",837,799,38
Andhra Pradesh,Prakasam,15,Women with 10 or more years of schooling (%),34.5,28.5,6
Andhra Pradesh,Prakasam,17,Births in the 5 years preceding the survey that are third or higher order (%),3.1,4.7,-1.6
Andhra Pradesh,Prakasam,20,Any method6 (%),69,70.9,-1.9000000000000057
Andhra Pradesh,Prakasam,21,Any modern method6 (%),68.7,70.9,-2.200000000000003
Andhra Pradesh,Prakasam,22,Female sterilization (%),68.7,70.3,-1.5999999999999943
Andhra Pradesh,Prakasam,23,Male sterilization (%),0,0,0
Andhra Pradesh,Prakasam,24,IUD/PPIUD (%),0,0.2,-0.2
Andhra Pradesh,Prakasam,25,Pill (%),0,0.2,-0.2
Andhra Pradesh,Prakasam,26,Condom (%),0,0.3,-0.3
Andhra Pradesh,Prakasam,27,Injectables (%),0,0,0
Andhra Pradesh,Prakasam,28,Total unmet need7 (%),4.8,4.7,0.09999999999999964
Andhra Pradesh,Prakasam,29,Unmet need for spacing7 (%),1.6,3.2,-1.6
Andhra Pradesh,Prakasam,30,Health worker ever talked to female non-users about family planning (%),25.4,17.9,7.5
Andhra Pradesh,Prakasam,31,Current users ever told about side effects of current method8 (%),18.9,22.4,-3.5
Andhra Pradesh,Prakasam,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.8,86.9,5.8999999999999915
Andhra Pradesh,Prakasam,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.1,75.9,14.199999999999989
Andhra Pradesh,Prakasam,42,Institutional births (%),97.4,91.4,6
Andhra Pradesh,Prakasam,73,Children under 5 years who are stunted (height-for-age)18 (%),22.6,28.2,-5.599999999999998
Andhra Pradesh,Prakasam,74,Children under 5 years who are wasted (weight-for-height)18 (%),8.7,15.3,-6.600000000000001
Andhra Pradesh,Prakasam,76,Children under 5 years who are underweight (weight-for-age)18 (%),24.7,30.3,-5.600000000000001
Andhra Pradesh,Prakasam,77,Children under 5 years who are overweight (weight-for-height)20 (%),5.1,0.8,4.3
Andhra Pradesh,Sri Potti Sriramulu Nellore,1,Female population age 6 years and above who ever attended school (%),67.9,60.6,7.300000000000004
Andhra Pradesh,Sri Potti Sriramulu Nellore,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1011,1156,-145
Andhra Pradesh,Sri Potti Sriramulu Nellore,15,Women with 10 or more years of schooling (%),38.7,32.7,6
Andhra Pradesh,Sri Potti Sriramulu Nellore,17,Births in the 5 years preceding the survey that are third or higher order (%),3.4,2,1.4
Andhra Pradesh,Sri Potti Sriramulu Nellore,20,Any method6 (%),71.9,71,0.9000000000000057
Andhra Pradesh,Sri Potti Sriramulu Nellore,21,Any modern method6 (%),71.7,71,0.7000000000000028
Andhra Pradesh,Sri Potti Sriramulu Nellore,22,Female sterilization (%),71.4,70.7,0.7000000000000028
Andhra Pradesh,Sri Potti Sriramulu Nellore,23,Male sterilization (%),0,0,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,24,IUD/PPIUD (%),0,0.2,-0.2
Andhra Pradesh,Sri Potti Sriramulu Nellore,25,Pill (%),0,0,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,26,Condom (%),0.3,0,0.3
Andhra Pradesh,Sri Potti Sriramulu Nellore,27,Injectables (%),0,0,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,28,Total unmet need7 (%),3.1,3.2,-0.10000000000000009
Andhra Pradesh,Sri Potti Sriramulu Nellore,29,Unmet need for spacing7 (%),2.3,1.8,0.4999999999999998
Andhra Pradesh,Sri Potti Sriramulu Nellore,30,Health worker ever talked to female non-users about family planning (%),19.7,19.3,0.3999999999999986
Andhra Pradesh,Sri Potti Sriramulu Nellore,31,Current users ever told about side effects of current method8 (%),21.7,22.6,-0.9000000000000021
Andhra Pradesh,Sri Potti Sriramulu Nellore,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.8,92.5,0.29999999999999716
Andhra Pradesh,Sri Potti Sriramulu Nellore,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),95.5,83.2,12.299999999999997
Andhra Pradesh,Sri Potti Sriramulu Nellore,42,Institutional births (%),97,96,1
Andhra Pradesh,Sri Potti Sriramulu Nellore,73,Children under 5 years who are stunted (height-for-age)18 (%),29.2,29.4,-0.1999999999999993
Andhra Pradesh,Sri Potti Sriramulu Nellore,74,Children under 5 years who are wasted (weight-for-height)18 (%),17.2,16.9,0.3000000000000007
Andhra Pradesh,Sri Potti Sriramulu Nellore,76,Children under 5 years who are underweight (weight-for-age)18 (%),27.8,28.7,-0.8999999999999986
Andhra Pradesh,Sri Potti Sriramulu Nellore,77,Children under 5 years who are overweight (weight-for-height)20 (%),0.5,1.5,-1
Andhra Pradesh,Srikakulam,1,Female population age 6 years and above who ever attended school (%),60,58.4,1.6000000000000014
Andhra Pradesh,Srikakulam,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1163,933,230
Andhra Pradesh,Srikakulam,15,Women with 10 or more years of schooling (%),42.5,34.7,7.799999999999997
Andhra Pradesh,Srikakulam,17,Births in the 5 years preceding the survey that are third or higher order (%),0,1.9,-1.9
Andhra Pradesh,Srikakulam,20,Any method6 (%),72.3,67.7,4.599999999999994
Andhra Pradesh,Srikakulam,21,Any modern method6 (%),72.2,67.5,4.700000000000003
Andhra Pradesh,Srikakulam,22,Female sterilization (%),71,66.1,4.900000000000006
Andhra Pradesh,Srikakulam,23,Male sterilization (%),0.3,0.7,-0.39999999999999997
Andhra Pradesh,Srikakulam,24,IUD/PPIUD (%),0.6,0.2,0.39999999999999997
Andhra Pradesh,Srikakulam,25,Pill (%),0,0,0
Andhra Pradesh,Srikakulam,26,Condom (%),0.3,0.3,0
Andhra Pradesh,Srikakulam,27,Injectables (%),0,0,0
Andhra Pradesh,Srikakulam,28,Total unmet need7 (%),5.7,6.7,-1
Andhra Pradesh,Srikakulam,29,Unmet need for spacing7 (%),3.6,5,-1.4
Andhra Pradesh,Srikakulam,30,Health worker ever talked to female non-users about family planning (%),16,15.7,0.3000000000000007
Andhra Pradesh,Srikakulam,31,Current users ever told about side effects of current method8 (%),45.8,17.9,27.9
Andhra Pradesh,Srikakulam,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100,96.9,3.0999999999999943
Andhra Pradesh,Srikakulam,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.8,89.5,1.2999999999999972
Andhra Pradesh,Srikakulam,42,Institutional births (%),97.9,91.2,6.700000000000003
